kecamatan,kelurahan,lokasi,kategori,latitude,longitude,status_akurasi
REGOL,PUNGKUR,CIATEUL KALER,FASILITAS UMUM,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,TAMAN REFLEKSI,TAMAN,-6.9318013,107.6111694,Akurat (ArcGIS)
REGOL,ANCOL,JL. PASIRLUYU BARAT,TAMAN,-6.940178666382,107.616027530578,Akurat (ArcGIS)
REGOL,ANCOL,JL. BKR,TAMAN,-6.938022889242,107.616016752128,Akurat (ArcGIS)
REGOL,BALONGGEDE,TAMAN ALUN-ALUN BANDUNG,TAMAN,-6.921919,107.6061149,Akurat (ArcGIS)
REGOL,BALONGGEDE,PENDOPO,TAMAN,-6.926621,107.609535,Akurat (ArcGIS)
REGOL,CISEUREUH,RW 08,LAHAN TIDUR,-6.950495,107.612895,Akurat (ArcGIS)
REGOL,CISEUREUH,RW 08,SAWAH,-6.950495,107.612895,Akurat (ArcGIS)
REGOL,CISEUREUH,RW 03,LAHAN TIDUR,-6.950495,107.612895,Akurat (ArcGIS)
REGOL,CISEUREUH,RW 06,HALAMAN SD CIBURUY,-6.950495,107.612895,Akurat (ArcGIS)
REGOL,CISEUREUH,RW 04,HALAMAN SD AL-FATWA,-6.950495,107.612895,Akurat (ArcGIS)
REGOL,CISEUREUH,RW 02,HALAMAN TK AL-JANNAH,-6.950495,107.612895,Akurat (ArcGIS)
REGOL,CIGERELENG,JL. BKR,TAMAN,-6.937736356,107.610118911366,Akurat (ArcGIS)
REGOL,CIGERELENG,JL. KEMBAR I,TAMAN,-6.943758816613,107.611424611133,Akurat (ArcGIS)
REGOL,CIGERELENG,JL. KEMBAR TENGAH II,TAMAN,-6.942470122655,107.610048272073,Akurat (ArcGIS)
REGOL,CIGERELENG,JL. KEMBAR BARAT RT 01 & RT 02 RW 04,SAWAH,-6.940406014649,107.609563976344,Akurat (ArcGIS)
REGOL,CIGERELENG,JL. SRIWIJAYA RT 05 RW 06,SAWAH,-6.93833698376,107.612640973,Akurat (ArcGIS)
REGOL,CIATEUL,JL. MOH. TOHA,TAMAN,-6.937145744385,107.606450727172,Akurat (ArcGIS)
REGOL,CIATEUL,RW 03,TAMAN,-6.934445,107.609038,Akurat (ArcGIS)
REGOL,CIATEUL,JL. PLN RW 09,TAMAN,-6.934445,107.609038,Akurat (ArcGIS)
REGOL,PASIRLUYU,JL. PASIRLUYU GG. HASANUDIN RT 03 RW 01,TAMAN,-6.946697305404,107.621255108353,Akurat (ArcGIS)
REGOL,PASIRLUYU,JL. PASIRLUYU HILIR RT 04 & RT 05 RW 06,TAMAN,-6.944221498884,107.62104416621,Akurat (ArcGIS)
REGOL,PASIRLUYU,JL. PASIRLUYU RW 09,TAMAN,-6.946697305404,107.621255108353,Akurat (ArcGIS)
REGOL,PASIRLUYU,JL. PASIRLUYU RW 02,TAMAN,-6.943083990804,107.619166619898,Akurat (ArcGIS)
REGOL,PASIRLUYU,RW 07,SAWAH,-6.945171,107.620188,Akurat (ArcGIS)
REGOL,PASIRLUYU,JL. SUKAATI V RT 02 RW 07,TAMAN,-6.951202973014,107.62162224602,Akurat (ArcGIS)
REGOL,PASIRLUYU,RW 08,SAWAH,-6.945171,107.620188,Akurat (ArcGIS)
REGOL,PUNGKUR,GG. MUNCANG RW 01,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,JL. DEWI SARTIKA RW 02,TAMAN,-6.929537397961,107.605602709662,Akurat (ArcGIS)
REGOL,PUNGKUR,JL. DEWI SARTIKA RW 02 (DEPAN SMPN 10),TAMAN,-6.929537397961,107.605602709662,Akurat (ArcGIS)
REGOL,PUNGKUR,JL. DEWI SARTIKA RW 02 (DEPAN SMPN 03),TAMAN,-6.929537397961,107.605602709662,Akurat (ArcGIS)
REGOL,PUNGKUR,POS RW 03,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,BLUMBAK PASUNDAN RW 03,TAMAN,-6.929841563538,107.608500025212,Akurat (ArcGIS)
REGOL,PUNGKUR,JL. NATAWIJAYA RW 03,TAMAN,-6.924083429831,107.596150154482,Akurat (ArcGIS)
REGOL,PUNGKUR,BLUMBAK NURKIMAN RW 04,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,NURKIMAN RW 04,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,NURKIMAN RW 04,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,ASMITA RW 04,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,ASMITA RW 04,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,JL. PASUNDAN RW 04,TAMAN,-6.929841563538,107.608500025212,Akurat (ArcGIS)
REGOL,PUNGKUR,ASMI,TAMAN,-6.929336628118,107.608601499504,Akurat (ArcGIS)
REGOL,PUNGKUR,TAMAN SEGITIGA,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,CIATEUL KALER,FASILITAS UMUM,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,TAMAN REFLEKSI,TAMAN,-6.9318013,107.6111694,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. TERUSAN PASIRKOJA RT 08 RW 04,TAMAN RW 04,-6.927813353261,107.582866167012,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,PERUMAHAN AKSAN,TAMAN HIJAU,-6.920279655612,107.583354925649,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. AKSAN RT 05 RW 10,TAMAN FERARI,-6.920240915809,107.581928003385,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN MOLEK RAYA RW 12,RUANG PUBLIK,-6.939309296435,107.571226390908,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN INDAH RAYA RW 12,RUANG PUBLIK,-6.941106144324,107.572816247817,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN PERMAI RAYA RW 12,RUANG PUBLIK,-6.93936799976,107.572489980409,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. SUMBERSARI RAYA RW 10,RUANG PUBLIK,-6.932207508977,107.57588756989,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. KOMP SAKURA RW 07,RUANG PUBLIK,-6.9275,107.578,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. TERS. PASIRKOJA RT 8 RW 4,TAMAN RW 04,-6.926757,107.583141,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,PERUMAHAN AKSAN,TAMAN HIJAU,-6.920279655612,107.583354925649,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. AKSAN RT 05 RW 10,TAMAN FERARI,-6.920240915809,107.581928003385,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN MOLEK RAYA RW 12,RUANG PUBLIK,-6.939309296435,107.571226390908,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN INDAH RAYA RW 12,RUANG PUBLIK,-6.941106144324,107.572816247817,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN PERMAI RAYA RW 12,RUANG PUBLIK,-6.93936799976,107.572489980409,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. SUMBERSARI RAYA RW 10,RUANG PUBLIK,-6.932207508977,107.57588756989,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. KOMP SAKURA RW 007,RUANG PUBLIK,-6.9275,107.578,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGASUKA,KP PERUM KOPO MAS,TAMAN HIJAU,-6.958319808061,107.578204554854,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGASUKA,RW 04 JL. KOPO,TAMAN HIJAU,-6.954828953086,107.58358663997,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGAHAYU UTARA,RW 02,HALAMAN KANTOR,-6.947835,107.576832,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGAHAYU UTARA,RW 04,LAPANG VOLLY,-6.947835,107.576832,Akurat (ArcGIS)
BABAKAN CIPARAY,CIRANGRANG,JL. GERHANA NO 2,TAMAN HIJAU,-6.959347984269,107.584942973957,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. TERS. PASIRKOJA RT 8 RW 4,TAMAN RW 04,-6.926757,107.583141,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,PERUMAHAN AKSAN,TAMAN HIJAU,-6.920279655612,107.583354925649,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. AKSAN RT 05 RW 10,TAMAN FERARI,-6.920240915809,107.581928003385,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN MOLEK RAYA RW 12,RUANG PUBLIK,-6.939309296435,107.571226390908,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN INDAH RAYA RW 12,RUANG PUBLIK,-6.941106144324,107.572816247817,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN PERMAI RAYA RW 12,RUANG PUBLIK,-6.93936799976,107.572489980409,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. SUMBERSARI RAYA RW 10,RUANG PUBLIK,-6.932207508977,107.57588756989,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. KOMP SAKURA RW 007,RUANG PUBLIK,-6.9275,107.578,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGASUKA,KP PERUM KOPO MAS,TAMAN HIJAU,-6.958319808061,107.578204554854,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGASUKA,RW 04 JL. KOPO,TAMAN HIJAU,-6.954828953086,107.58358663997,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGAHAYU UTARA,RW 02,HALAMAN KANTOR,-6.947835,107.576832,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGAHAYU UTARA,RW 04,LAPANG VOLLY,-6.947835,107.576832,Akurat (ArcGIS)
BABAKAN CIPARAY,CIRANGRANG,JL. GERHANA NO 2,TAMAN HIJAU,-6.959347984269,107.584942973957,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. TERS. PASIRKOJA RT 8 RW 4,TAMAN RW 04,-6.926757,107.583141,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,PERUMAHAN AKSAN,TAMAN HIJAU,-6.920279655612,107.583354925649,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. AKSAN RT 05 RW 10,TAMAN FERARI,-6.920240915809,107.581928003385,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN MOLEK RAYA RW 12,RUANG PUBLIK,-6.939309296435,107.571226390908,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN INDAH RAYA RW 12,RUANG PUBLIK,-6.941106144324,107.572816247817,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN PERMAI RAYA RW 12,RUANG PUBLIK,-6.93936799976,107.572489980409,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. SUMBERSARI RAYA RW 10,RUANG PUBLIK,-6.932207508977,107.57588756989,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. KOMP SAKURA RW 007,RUANG PUBLIK,-6.9275,107.578,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGASUKA,KP PERUM KOPO MAS,TAMAN HIJAU,-6.958319808061,107.578204554854,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGASUKA,RW 04 JL. KOPO,TAMAN HIJAU,-6.954828953086,107.58358663997,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGAHAYU UTARA,RW 02,HALAMAN KANTOR,-6.947835,107.576832,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGAHAYU UTARA,RW 04,LAPANG VOLLY,-6.947835,107.576832,Akurat (ArcGIS)
BABAKAN CIPARAY,CIRANGRANG,JL. GERHANA NO 2,TAMAN HIJAU,-6.959347984269,107.584942973957,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. TERS. PASIRKOJA RT 8 RW 4,TAMAN RW 04,-6.926757,107.583141,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,PERUMAHAN AKSAN,TAMAN HIJAU,-6.920279655612,107.583354925649,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. AKSAN RT 05 RW 10,TAMAN FERARI,-6.920240915809,107.581928003385,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN MOLEK RAYA RW 12,RUANG PUBLIK,-6.939309296435,107.571226390908,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN INDAH RAYA RW 12,RUANG PUBLIK,-6.941106144324,107.572816247817,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN PERMAI RAYA RW 12,RUANG PUBLIK,-6.93936799976,107.572489980409,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. SUMBERSARI RAYA RW 10,RUANG PUBLIK,-6.932207508977,107.57588756989,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. KOMP SAKURA RW 007,RUANG PUBLIK,-6.9275,107.578,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGASUKA,KP PERUM KOPO MAS,TAMAN HIJAU,-6.958319808061,107.578204554854,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGASUKA,RW 04 JL. KOPO,TAMAN HIJAU,-6.954828953086,107.58358663997,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGAHAYU UTARA,RW 02,HALAMAN KANTOR,-6.947835,107.576832,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGAHAYU UTARA,RW 04,LAPANG VOLLY,-6.947835,107.576832,Akurat (ArcGIS)
BABAKAN CIPARAY,CIRANGRANG,JL. GERHANA NO 2,TAMAN HIJAU,-6.959347984269,107.584942973957,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. TERS. PASIRKOJA RT 8 RW 4,TAMAN RW 04,-6.926757,107.583141,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,PERUMAHAN AKSAN,TAMAN HIJAU,-6.920279655612,107.583354925649,Akurat (ArcGIS)
BABAKAN CIPARAY,SUKAHAJI,JL. AKSAN RT 05 RW 10,TAMAN FERARI,-6.920240915809,107.581928003385,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN MOLEK RAYA RW 12,RUANG PUBLIK,-6.939309296435,107.571226390908,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN INDAH RAYA RW 12,RUANG PUBLIK,-6.941106144324,107.572816247817,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. DIAN PERMAI RAYA RW 12,RUANG PUBLIK,-6.93936799976,107.572489980409,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. SUMBERSARI RAYA RW 10,RUANG PUBLIK,-6.932207508977,107.57588756989,Akurat (ArcGIS)
BABAKAN CIPARAY,BABAKAN,JL. KOMP SAKURA RW 007,RUANG PUBLIK,-6.9275,107.578,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGASUKA,KP PERUM KOPO MAS,TAMAN HIJAU,-6.958319808061,107.578204554854,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGASUKA,RW 04 JL. KOPO,TAMAN HIJAU,-6.954828953086,107.58358663997,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGAHAYU UTARA,RW 02,HALAMAN KANTOR,-6.947835,107.576832,Akurat (ArcGIS)
BABAKAN CIPARAY,MARGAHAYU UTARA,RW 04,LAPANG VOLLY,-6.947835,107.576832,Akurat (ArcGIS)
BABAKAN CIPARAY,CIRANGRANG,JL. GERHANA NO 2,TAMAN HIJAU,-6.959347984269,107.584942973957,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RW  03 / RT  03,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RW  04 (GSI),0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RT  01,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RT  04 (TOGA),0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RT  07,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RW 05,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RT  07,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,0,TAMAN TOGA,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RW  06,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RW  08,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RW  09,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RW  10,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RT  01,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,GEMPOLSARI,RT  03,0,-6.932371,107.553151,Akurat (ArcGIS)
BANDUNG KULON,CIJERAH,"PINGGIR LAPANGAN DI RT 
  04 - 05 DAN 06",0,-6.920449,107.565022,Akurat (ArcGIS)
BANDUNG KULON,CIJERAH,"RT  04 DEKAT KANTOR
  RW  05",TAMAN LANSIA,-6.920449,107.565022,Akurat (ArcGIS)
BANDUNG KULON,CIJERAH,RT  06 RW  05,0,-6.920449,107.565022,Akurat (ArcGIS)
BANDUNG KULON,CIBUNTU,RW  01,0,-6.920888,107.571024,Akurat (ArcGIS)
BANDUNG KULON,CIBUNTU,RW  10,0,-6.920888,107.571024,Akurat (ArcGIS)
BANDUNG KULON,CIBUNTU,RW  01 S/D RW  10,TAMAN VERTIKAL,-6.920888,107.571024,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KIDUL,BLOK B RT  08 RW  01,0,-6.941157,107.562379,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KIDUL,BLOK B RT  010 RW  01,0,-6.941157,107.562379,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KIDUL,BLOK D RT  04 RW  02,0,-6.941157,107.562379,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KIDUL,BLOK H RT  06 RW  01,0,-6.941157,107.562379,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KIDUL,BLOK B RT  07 RW  01,TAMAN VERTIKAL,-6.941157,107.562379,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KIDUL,BLOK D RT  04 RW  02,TAMAN VERTIKAL,-6.941157,107.562379,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KIDUL,RT  01 RW  03,TAMAN VERTIKAL,-6.941157,107.562379,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KIDUL,RT  04 RW  04,TAMAN VERTIKAL,-6.941157,107.562379,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KIDUL,RT  03 RW  05,TAMAN VERTIKAL,-6.941157,107.562379,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KIDUL,RT  02 RW  06,TAMAN VERTIKAL,-6.941157,107.562379,Akurat (ArcGIS)
BANDUNG KULON,WARUNG MUNCANG,RW  07,TAMAN BERMAIN ANAK,-6.925805,107.576542,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH RAHAYU,RW  02 (2 TAMAN),0,-6.947891012276,107.564256017825,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH RAHAYU,RW  06 (1 TAMAN),0,-6.946269492712,107.564592331624,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH RAHAYU,RW  07 (1 TAMAN),0,-6.946269492712,107.564592331624,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH RAHAYU,RT  04 RW  03 (1 TAMAN),0,-6.946269492712,107.564592331624,Akurat (ArcGIS)
BANDUNG KULON,CIGONDEWAH KALER,0,TAMAN INDAG,-6.937076,107.5603679,Akurat (ArcGIS)
BANDUNG KULON,CARINGIN,RW  02,0,-6.933242,107.570383,Akurat (ArcGIS)
BANDUNG KULON,CARINGIN,RW  04,0,-6.933242,107.570383,Akurat (ArcGIS)
BANDUNG KULON,CARINGIN,RW  05,0,-6.933242,107.570383,Akurat (ArcGIS)
BANDUNG KULON,CARINGIN,RW  06,0,-6.933242,107.570383,Akurat (ArcGIS)
BANDUNG WETAN,CITARUM,JL. AMBON,TAMAN KOTA,-6.907590911654,107.616502845123,Akurat (ArcGIS)
BANDUNG WETAN,CITARUM,JL. SAPARUA,TAMAN KOTA,-6.908777515815,107.615848502368,Akurat (ArcGIS)
BANDUNG WETAN,CITARUM,JL. WIRA ANGUN ANGUN,TAMAN KOTA,-6.904502313124,107.61425081305,Akurat (ArcGIS)
BANDUNG WETAN,CITARUM,JL. SULTAN TIRTAYASA,TAMAN KOTA,-6.903610958513,107.615068128777,Akurat (ArcGIS)
BANDUNG WETAN,CITARUM,JL. CISANGKUY,TAMAN KOTA,-6.902704065247,107.621855754214,Akurat (ArcGIS)
BANDUNG WETAN,CITARUM,JL. CISANGKUY,TAMAN KOTA,-6.902704065247,107.621855754214,Akurat (ArcGIS)
BANDUNG WETAN,CITARUM,JL. AMBON,LAPANGAN OLAHRAGA,-6.907590911654,107.616502845123,Akurat (ArcGIS)
BANDUNG WETAN,CITARUM,JL. MAJAPAHIT,LAPANGAN OLAHRAGA,-6.900455950676,107.618075032144,Akurat (ArcGIS)
BANDUNG WETAN,CIHAPIT,TAMAN PRAMUKA,TAMAN,-6.909675339896,107.627429946191,Akurat (ArcGIS)
BANDUNG WETAN,CIHAPIT,TAMAN CIBEUNYING,TAMAN,-6.9041,107.6237,Akurat (ArcGIS)
BANDUNG WETAN,CIHAPIT,TAMAN CILAKI,TAMAN,-6.904279056091,107.625109923361,Akurat (ArcGIS)
BANDUNG WETAN,CIHAPIT,LAPANGAN SUPRATMAN,TAMAN,-6.90761,107.63003,Akurat (ArcGIS)
BANDUNG WETAN,CIHAPIT,TAMAN SALAM,TAMAN,-6.909400774993,107.629503453479,Akurat (ArcGIS)
BANDUNG WETAN,CIHAPIT,TAMAN HERO,TAMAN,-6.908361,107.626742,Akurat (ArcGIS)
BANDUNG WETAN,CIHAPIT,PET PARK,TAMAN,-6.908361,107.626742,Akurat (ArcGIS)
BANDUNG WETAN,CIHAPIT,TAMAN CIHAPIT,TAMAN,-6.907784960544,107.62149031018,Akurat (ArcGIS)
COBLONG,LEBAK SILIWANGI,TAMAN BABAKAN SILIWANGI,HUTAN KOTA,-6.8862,107.6113,Akurat (ArcGIS)
COBLONG,LEBAK SILIWANGI,KEBUN BINATANG,KEBUN BINATANG,-6.894442336866,107.608216306362,Akurat (ArcGIS)
COBLONG,LEBAK SILIWANGI,JALUR DAGO,MEDIAN JALAN,-6.894197972363,107.613023839877,Akurat (ArcGIS)
COBLONG,LEBAK SILIWANGI,BAK BUNGA BBK. SILIWANGI,MEDIAN JALAN,-6.8848176343,107.611350632434,Akurat (ArcGIS)
COBLONG,LEBAK SILIWANGI,JALUR SILIWANGI,MEDIAN JALAN,-6.8848176343,107.611350632434,Akurat (ArcGIS)
COBLONG,LEBAK SILIWANGI,TAMAN GELAP NYAWANG,MEDIAN JALAN,-6.894815639386,107.610266262979,Akurat (ArcGIS)
COBLONG,LEBAK SILIWANGI,TM. PULAU JL. TAMANSARI-SUMUR BANDUNG,MEDIAN JALAN,-6.893385707816,107.608383289929,Akurat (ArcGIS)
